source,period,capacity_mwh,reserve_mw,supply_mw,deficit_mwh,request_mwh,hydrogen_energy_mwh,hours,restarts,deficit_pct
Germany_15min,calibration,0.5,0.75,0.05,28.564483115922688,297.16487812797965,288.43312068914923,4343.0,1,9.612334841138548
Germany_15min,calibration,0.5,0.75,0.1,19.100673385837915,297.16487812797965,495.29987195141643,4343.0,1,6.427634889481068
Germany_15min,calibration,0.5,0.75,0.2,12.969688493443064,297.16487812797965,923.1590375946686,4343.0,1,4.364475564927772
Germany_15min,calibration,0.5,0.75,0.4,11.785021260003594,297.16487812797965,1790.526132563377,4343.0,1,3.965819020822559
Germany_15min,calibration,1.0,0.25,0.0,8.596362625011976,99.054959375992,28.023171775493424,4343.0,1,8.678376811384044
Germany_15min,calibration,1.0,0.25,0.025,0.0815839575742841,99.054959375992,127.21852535015194,4343.0,1,0.08236231490904801
Germany_15min,calibration,1.0,0.25,0.05,3.3732084032768615e-10,99.054959375992,235.77190942967974,4343.0,1,3.4053907290728016e-10
Germany_15min,calibration,1.0,0.25,0.1,3.388962122400107e-10,99.054959375992,452.9775859928362,4343.0,1,3.421294747632284e-10
Germany_15min,calibration,1.0,0.25,0.2,3.403447139176876e-10,99.054959375992,887.2862674666762,4343.0,1,3.435917959703663e-10
Germany_15min,calibration,1.0,0.25,0.4,3.403447139176876e-10,99.054959375992,1755.8862674666764,4343.0,1,3.435917959703663e-10
Germany_15min,calibration,1.0,0.5,0.0,23.707868463735387,198.109918751984,62.964063692713204,4343.0,1,11.967027503259708
Germany_15min,calibration,1.0,0.5,0.025,6.528679072165906,198.109918751984,152.74157112028746,4343.0,1,3.2954831909952125
Germany_15min,calibration,1.0,0.5,0.05,1.7737758837064854,198.109918751984,256.21737838026354,4343.0,1,0.8953493570037223
Germany_15min,calibration,1.0,0.5,0.1,0.206204827071956,198.109918751984,471.7728103008683,4343.0,1,0.1040860691736016
Germany_15min,calibration,1.0,0.5,0.2,3.3766111251011874e-10,198.109918751984,905.9551719856767,4343.0,1,1.704412957398869e-10
Germany_15min,calibration,1.0,0.5,0.4,3.3763994113147004e-10,198.109918751984,1774.5725349333552,4343.0,1,1.704306090570686e-10
Germany_15min,calibration,1.0,0.75,0.0,44.44285401420484,297.16487812797965,100.47936964043238,4343.0,1,14.955621368910457
Germany_15min,calibration,1.0,0.75,0.025,22.25871729869651,297.16487812797965,184.7930196012644,4343.0,1,7.490359371846889
Germany_15min,calibration,1.0,0.75,0.05,11.37239379829234,297.16487812797965,281.4879441990669,4343.0,1,3.8269643000659737
Germany_15min,calibration,1.0,0.75,0.1,5.741315609732681,297.16487812797965,492.850049233067,4343.0,1,1.9320303415062652
Germany_15min,calibration,1.0,0.75,0.2,2.4707434757239395,297.16487812797965,923.8048382914419,4343.0,1,0.831438591023488
Germany_15min,calibration,1.0,0.75,0.4,2.0076843389782564,297.16487812797965,1791.9667454333464,4343.0,1,0.675612929638882
Germany_15min,calibration,2.0,0.25,0.0,5.3794423832196525,99.054959375992,24.566678816136047,4343.0,1,5.430765321704297
Germany_15min,calibration,2.0,0.25,0.025,6.64132229243446e-10,99.054959375992,127.13023661265859,4343.0,1,6.704684282616666e-10
Germany_15min,calibration,2.0,0.25,0.05,6.757313087497587e-10,99.054959375992,235.77190942968068,4343.0,1,6.821781695804078e-10
Germany_15min,calibration,2.0,0.25,0.1,6.75657332692426e-10,99.054959375992,452.9775859928478,4343.0,1,6.821034877494336e-10
Germany_15min,calibration,2.0,0.25,0.2,6.74600841458613e-10,99.054959375992,887.2862674666801,4343.0,1,6.810369169886474e-10
Germany_15min,calibration,2.0,0.25,0.4,6.74600841458613e-10,99.054959375992,1755.88626746668,4343.0,1,6.810369169886474e-10
Germany_15min,calibration,2.0,0.5,0.0,17.19272525002395,198.109918751984,56.04634355098685,4343.0,1,8.678376811384044
Germany_15min,calibration,2.0,0.5,0.025,3.441103306024572,198.109918751984,149.40609539735365,4343.0,1,1.7369666938950832
Germany_15min,calibration,2.0,0.5,0.05,0.1631679151485682,198.109918751984,254.43705070030387,4343.0,1,0.08236231490904801
Germany_15min,calibration,2.0,0.5,0.1,6.746416806553723e-10,198.109918751984,471.5438188593595,4343.0,1,3.4053907290728016e-10
Germany_15min,calibration,2.0,0.5,0.2,6.777924244800214e-10,198.109918751984,905.9551719856725,4343.0,1,3.421294747632284e-10
Germany_15min,calibration,2.0,0.5,0.4,6.806894278353752e-10,198.109918751984,1774.5725349333525,4343.0,1,3.435917959703663e-10
Germany_15min,calibration,2.0,0.75,0.0,31.158308843517894,297.16487812797965,89.46275183340393,4343.0,1,10.485192274337003
Germany_15min,calibration,2.0,0.75,0.025,12.983312173958613,297.16487812797965,178.01153330612914,4343.0,1,4.369060117651961
Germany_15min,calibration,2.0,0.75,0.05,4.214962480020896,297.16487812797965,276.92988787622915,4343.0,1,1.4183918727453528
Germany_15min,calibration,2.0,0.75,0.1,0.4306598256200352,297.16487812797965,490.1818556347157,4343.0,1,0.1449228550604703
Germany_15min,calibration,2.0,0.75,0.2,0.1055453420772431,297.16487812797965,924.2571520897623,4343.0,1,0.03551743488064159
Germany_15min,calibration,2.0,0.75,0.4,0.10554534207673884,297.16487812797965,1792.9168055111086,4343.0,1,0.0355174348804719
Germany_15min,calibration,4.0,0.25,0.0,3.2467593372860306,99.054959375992,22.280755920517063,4343.0,1,3.277735267107635
Germany_15min,calibration,4.0,0.25,0.025,1.328698833994435e-09,99.054959375992,127.1302366126565,4343.0,1,1.3413753762201557e-09
Germany_15min,calibration,4.0,0.25,0.05,1.342865047093144e-09,99.054959375992,235.77190942966362,4343.0,1,1.3556767430451494e-09
Germany_15min,calibration,4.0,0.25,0.1,1.3536842525726435e-09,99.054959375992,452.9775859928394,4343.0,1,1.3665991698955122e-09
