period,capacity_mwh,eta,horizon_hours,measured_feedback,model,deficit_mwh,requested_mwh,hydrogen_energy_mwh,max_state_error,initial_inventory,terminal_inventory,deficit_pct,terminal_restoration_mwh,restored_hydrogen_energy_mwh
calibration,1.0,1.0,1.0,False,envelope,2.2925472139812397,313.00547608849115,2243.1539307573853,9.413581025796702e-13,0.5,0.5207162992018528,0.7324303851262665,-0.020716299201852806,2243.174647056587
calibration,1.0,1.0,1.0,False,gross,2.209579197577262,313.00547608849115,2243.2578269836395,0.0291354556294642,0.5,0.5251704197276061,0.705923495393602,-0.02517041972760614,2243.282997403367
calibration,1.0,1.0,1.0,False,minute,2.290893682681389,313.00547608849115,2243.156223478366,0.0009959832672056,0.5,0.520795607900748,0.73190210960837,-0.02079560790074797,2243.1770190862667
calibration,1.0,1.0,1.0,False,native,2.2925472139819023,313.00547608849115,2243.1539307573853,0.0,0.5,0.5207162992019481,0.7324303851264782,-0.020716299201948063,2243.174647056587
calibration,1.0,1.0,1.0,False,quarter,2.2095791975772245,313.00547608849115,2243.2578269836395,0.02913545562945,0.5,0.5251704197275842,0.7059234953935901,-0.02517041972758416,2243.282997403367
calibration,1.0,1.0,1.0,True,5minute,2.2925472139819023,313.00547608849115,2243.1539307573853,0.0083618747926265,0.5,0.5207162992019481,0.7324303851264782,-0.020716299201948063,2243.174647056587
calibration,1.0,1.0,1.0,True,envelope,2.2925472139819023,313.00547608849115,2243.1539307573853,4.89608353859694e-14,0.5,0.5207162992019481,0.7324303851264782,-0.020716299201948063,2243.174647056587
calibration,1.0,1.0,1.0,True,gross,2.2925472139819023,313.00547608849115,2243.1539307573853,0.029135455628292,0.5,0.5207162992019481,0.7324303851264782,-0.020716299201948063,2243.174647056587
calibration,1.0,1.0,1.0,True,minute,2.2925472139819023,313.00547608849115,2243.1539307573853,0.000995983266661,0.5,0.5207162992019481,0.7324303851264782,-0.020716299201948063,2243.174647056587
calibration,1.0,1.0,1.0,True,native,2.2925472139819023,313.00547608849115,2243.1539307573853,0.0,0.5,0.5207162992019481,0.7324303851264782,-0.020716299201948063,2243.174647056587
calibration,1.0,1.0,1.0,True,quarter,2.2925472139819023,313.00547608849115,2243.1539307573853,0.029135455628292,0.5,0.5207162992019481,0.7324303851264782,-0.020716299201948063,2243.174647056587
calibration,2.0,0.9,1.0,False,5minute,2.2342403520187073,313.00547608849115,2210.4148486121035,0.9302328065657188,1.0,0.484896230868274,0.7138023206300248,0.5723375212574733,2209.842511090846
calibration,2.0,0.9,1.0,False,envelope,0.057217291993178515,313.00547608849115,2207.3921455115947,5.008438108689006e-12,1.0,1.001516335179811,0.018279965164891353,-0.0013647016618299813,2207.3935102132564
calibration,2.0,0.9,1.0,False,gross,0.05721729192080612,313.00547608849115,2207.4140884469557,0.0242375101081027,1.0,0.977278825076331,0.018279965141769588,0.02524574991518776,2207.3888426970407
calibration,2.0,0.9,1.0,False,minute,0.10669553929073633,313.00547608849115,2208.048036625767,0.5147074718145195,1.0,0.5109616612567683,0.034087435345882565,0.543375931936924,2207.50466069383
calibration,2.0,0.9,1.0,False,native,0.05721729199559072,313.00547608849115,2207.392145511591,0.0,1.0,1.0015163351838965,0.01827996516566201,-0.00136470166550684,2207.3935102132564
